name,phone,email,address
ABC School of English,+44 (0)20 7229 7222,info@abcschool.co.uk,"ABC School of English, 46 Oxford Street, London, W1D 1AN"
ANGLO,+44 (0)20 7242 1192,info@anglo.uk.com,"ANGLO, 48 Cambridge Gardens, London, W10 5AA, UK"
Abbey College in Malvern,+44 (0)1684 892341,enquiries@abbeycollege.com,"Abbey College, Albert Road North, Malvern, Worcestershire, WR14 2YH"
Al Hayat International Languages,+44 20 8617 8844,info@alhayat.co.uk,"Al Hayat International Languages
71-75 Shelton Street
Covent Garden
London
WC2H 9JQ"
Alpadia Language Camps by Kaplan International (Head office London),+44 (0)20 7499 0556,info@alpadia.com,"2nd floor, Portland House, 4 Great Portland Street, London, W1W 8QJ, UK"
Always be Compassionate (ABC),,,
Anglia Ruskin University,+44 (0)1245 686868,,"Bishop Hall Lane, Chelmsford, Essex, CM1 1SQ, UK"
Anglo-Continental School of English,+44 1202 557441,info@anglo-continental.com,"Anglo-Continental School of English
29-35 Wimborne Road
Bournemouth
BH2 6NA"
Anglotec Academy (Anglolang Academy of English),+44 (0)1723 364164,study@anglolang.com,"Anglolang Academy of English, 32-33 Queen's Parade, Scarborough, North Yorkshire, YO12 7JB, UK"
Ardmore Language School,+44 (0)20 8515 9500,admissions@ardmore.org.uk,"Ardmore Language Schools, Head Office, 4th Floor, 14-18 Holborn, London, EC1N 2LE, UK"
Ardmore Language Schools,+44 (0)20 8515 0955,info@ardmorelanguage.com,"25 Nutford Place, London, W1H 5YN, UK"
Atlas Language School,+44 (0) 330 058 3030,info@atlaslanguageschool.com,"91-93 Oxford Street, London, W1D 2DA"
BEET Language Centre,+44 (0)1202 421771,info@beet.co.uk,"BEET Language Centre, 29A Christchurch Road, Bournemouth, Dorset, BH1 3NS, UK"
BEST in Bath,+44 (0)1225 483888,info@bestinbath.co.uk,"4 Trim Street, Bath, BA1 1HD, UK"
BLISS,+44 (0) 1752 225 049,info@blissenglish.com,"145 Armada Way, Plymouth, Devon, PL1 1HY, UK"
BLS English,+44 1273 457733,info@blsenglish.co.uk,"BLS English
45 Churchill Square
Brighton
East Sussex
BN1 2ER"
BSC Education Brighton,+44 (0)1273 682101,brighton@bsceducation.com,"BSC Brighton, 1 Billinton Way, Brighton, BN1 4GQ, UK"
BSC Education Edinburgh,+44 (0)131 226 4488,enquiries@bsced.co.uk,"BSC Education Edinburgh, 29 St James's Place, Edinburgh, EH1 3JD, UK"
BSC Education London,+44 (0)20 7351 0578,enquiries@bsceducation.com,"50 Red Lion Street, London, WC1R 4PF, UK"
BSC Education Manchester,+44 (0)161 233 4220,enquiries@bsced.co.uk,"BSC Education Manchester, Portland Street, Manchester, M1 3LF, UK"
BSC Education York,,,
BSC Education Young Learners (Head office Birkenhead),+44 (0)151 666 1177,younglearners@bsceducation.com,"3rd Floor, 9 Hamilton Square, Birkenhead, CH41 6AU"
Bath Academy,+44 (0)1225 334577,enquiries@bathacademy.co.uk,"Bath Academy, Brook House, 5 Brook Road, Bath, BA1 3LQ, UK"
Bath College,+44 1225 312191,enquiries@bathcollege.ac.uk,"Bath College
Avon Street
Bath
BA1 1UP"
Bayswater College,+44 (0)20 7723 0471,info@bayswater.ac,"Bayswater College, 4 Stanhope Terrace, London W2 2HB, United Kingdom"
Bede's Summer School,+44 (0)1323 433030,enquiries@bedes.org,"Upper Dicker, Hailsham, East Sussex, BN27 3QH"
Belfast Metropolitan College,+44 28 9026 5150,info@belfastmet.ac.uk,"Belfast Metropolitan College
Titanic Quarter Campus
7 Queens Road
Belfast
BT3 9DT"
Bell Cambridge,+44 (0)1223 247242,enquiries@bellenglish.com,"Bell Cambridge, Red Cross Lane, Cambridge, CB2 0QU, UK"
Bell London,+44 (0)20 7229 3676,london@bellenglish.com,"Bell London, 1 Red Lion Square, London WC1R 4HQ, UK"
Bell Young Learners - St Albans year round Hertfordshire,,,
Berlitz London,+44 (0)20 7915 0360,london@berlitz.co.uk,"Berlitz London, 9 Henrietta Place, London, W1G 0NB"
